File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
    -0.02s 0.056% 58.83%     -0.66s  1.83%  runtime.newproc.func1
    -0.02s 0.056% 58.88%     -0.47s  1.30%  runtime.runqsteal
    -0.02s 0.056% 58.94%     -0.18s   0.5%  runtime.typedmemmove
    -0.02s 0.056% 59.00%     -1.14s  3.16%  runtime.wakep
     0.02s 0.056% 58.94%      0.16s  0.44%  sync.(*Mutex).Lock (inline)
    -0.02s 0.056% 59.00%     -5.02s 13.94%  syscall.Syscall
    -0.01s 0.028% 59.02%     -0.74s  2.05%  database/sql.(*DB).BeginTx
    -0.01s 0.028% 59.05%     -0.54s  1.50%  database/sql.(*DB).beginDC.func1
    -0.01s 0.028% 59.08%     -0.20s  0.56%  database/sql.(*Rows).Close
    -0.01s 0.028% 59.11%     -0.18s   0.5%  database/sql.(*Rows).awaitDone
    -0.01s 0.028% 59.13%     -0.54s  1.50%  database/sql.(*Rows).initContextClose
    -0.01s 0.028% 59.16%     -5.43s 15.07%  database/sql.(*Tx).QueryContext
    -0.01s 0.028% 59.19%     -0.24s  0.67%  encoding/json.(*decodeState).unmarshal
    -0.01s 0.028% 59.22%     -0.37s  1.03%  github.com/go-faker/faker/v4.singleFakeData
    -0.01s 0.028% 59.24%     -2.10s  5.83%  github.com/go-faker/faker/v4.userDefinedArray
    -0.01s 0.028% 59.27%     -0.16s  0.44%  github.com/go-faker/faker/v4/pkg/options.DefaultOption
    -0.01s 0.028% 59.30%     -0.77s  2.14%  github.com/go-playground/validator.(*Validate).StructCtx
    -0.01s 0.028% 59.33%     -0.72s  2.00%  github.com/go-playground/validator.(*validate).validateStruct
    -0.01s 0.028% 59.36%     -0.38s  1.05%  github.com/jackc/pgx/v5.(*Conn).getRows
    -0.01s 0.028% 59.38%     -0.16s  0.44%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).encodeExtendedParamValue
    -0.01s 0.028% 59.41%     -5.14s 14.27%  github.com/jackc/pgx/v5/pgconn.(*PgConn).execExtendedSuffix
     0.01s 0.028% 59.38%     -0.22s  0.61%  github.com/jackc/pgx/v5/pgconn.(*PgConn).receiveMessage
    -0.01s 0.028% 59.41%     -0.59s  1.64%  github.com/jackc/pgx/v5/stdlib.(*Conn).ExecContext
    -0.01s 0.028% 59.44%     -5.57s 15.46%  github.com/jackc/pgx/v5/stdlib.(*Conn).QueryContext
    -0.01s 0.028% 59.47%     -0.53s  1.47%  github.com/segmentio/kafka-go.(*Generation).CommitOffsets
     0.01s 0.028% 59.44%      0.95s  2.64%  github.com/segmentio/kafka-go.(*reader).read
     0.01s 0.028% 59.41%      0.28s  0.78%  github.com/segmentio/kafka-go.peekRead
    -0.01s 0.028% 59.44%     -0.16s  0.44%  gorm.io/gorm.(*DB).Session
    -0.01s 0.028% 59.47%     -0.20s  0.56%  gorm.io/gorm.(*DB).getInstance
    -0.01s 0.028% 59.49%     -0.18s   0.5%  gorm.io/gorm.(*Statement).QuoteTo.func1 (inline)
    -0.01s 0.028% 59.52%     -0.29s  0.81%  gorm.io/gorm.(*Statement).clone
    -0.01s 0.028% 59.55%     -0.17s  0.47%  gorm.io/gorm.(*processor).Execute.func1
    -0.01s 0.028% 59.58%     -0.15s  0.42%  gorm.io/gorm.Open.func3
    -0.01s 0.028% 59.61%     -4.38s 12.16%  gorm.io/gorm/callbacks.RegisterDefaultCallbacks.SaveAfterAssociations.func4
     0.01s 0.028% 59.58%     -0.14s  0.39%  gorm.io/gorm/clause.Values.Build
    -0.01s 0.028% 59.61%     -0.24s  0.67%  gorm.io/gorm/schema.(*Field).setupValuerAndSetter.func1
    -0.01s 0.028% 59.63%     -0.99s  2.75%  internal/runtime/syscall.EpollWait
    -0.01s 0.028% 59.66%     -4.12s 11.44%  net.(*conn).Write
     0.01s 0.028% 59.63%      1.59s  4.41%  orderservice/internal/kafka.StartConsumer.func3
    -0.01s 0.028% 59.66%     -0.52s  1.44%  runtime.(*mcache).nextFree
    -0.01s 0.028% 59.69%     -0.29s  0.81%  runtime.entersyscall
    -0.01s 0.028% 59.72%     -0.61s  1.69%  runtime.futexsleep
    -0.01s 0.028% 59.74%     -3.24s  9.00%  runtime.gcBgMarkWorker
    -0.01s 0.028% 59.77%     -0.60s  1.67%  runtime.mPark (inline)
    -0.01s 0.028% 59.80%     -0.17s  0.47%  runtime.mallocgcSmallScanHeader
    -0.01s 0.028% 59.83%     -0.59s  1.64%  runtime.notesleep
     0.01s 0.028% 59.80%     -1.90s  5.27%  runtime.park_m
    -0.01s 0.028% 59.83%     -0.28s  0.78%  runtime.pidleget
    -0.01s 0.028% 59.86%     -0.67s  1.86%  runtime.stopm
    -0.01s 0.028% 59.88%     -4.57s 12.69%  runtime.systemstack
    -0.01s 0.028% 59.91%     -0.19s  0.53%  runtime.unlockWithRank (inline)
    -0.01s 0.028% 59.94%     -0.87s  2.42%  syscall.Read (inline)
     0.01s 0.028% 59.91%     -4.15s 11.52%  syscall.write
    -0.01s 0.028% 59.94%     -0.29s  0.81%  time.(*Timer).Reset
    -0.01s 0.028% 59.97%     -0.99s  2.75%  time.Now
         0     0% 59.97%      0.30s  0.83%  bufio.(*Reader).Peek
         0     0% 59.97%      0.30s  0.83%  bufio.(*Reader).fill
         0     0% 59.97%     -0.73s  2.03%  database/sql.(*DB).BeginTx.func1
         0     0% 59.97%     -1.05s  2.92%  database/sql.(*DB).QueryContext
         0     0% 59.97%     -1.05s  2.92%  database/sql.(*DB).QueryContext.func1
         0     0% 59.97%     -0.73s  2.03%  database/sql.(*DB).begin
         0     0% 59.97%     -0.66s  1.83%  database/sql.(*DB).beginDC
         0     0% 59.97%     -0.63s  1.75%  database/sql.(*DB).execDC
         0     0% 59.97%     -0.62s  1.72%  database/sql.(*DB).execDC.func2
         0     0% 59.97%     -1.05s  2.92%  database/sql.(*DB).query
         0     0% 59.97%     -1.78s  4.94%  database/sql.(*DB).retry
         0     0% 59.97%     -0.38s  1.05%  database/sql.(*Rows).Next
         0     0% 59.97%     -0.23s  0.64%  database/sql.(*Rows).Next.func1
         0     0% 59.97%     -0.17s  0.47%  database/sql.(*Rows).Scan
         0     0% 59.97%     -0.23s  0.64%  database/sql.(*Rows).nextLocked
         0     0% 59.97%     -0.17s  0.47%  database/sql.(*Rows).scanLocked
         0     0% 59.97%     -0.52s  1.44%  database/sql.(*Tx).Commit
         0     0% 59.97%     -0.49s  1.36%  database/sql.(*Tx).Commit.func1
         0     0% 59.97%     -0.64s  1.78%  database/sql.(*Tx).ExecContext
         0     0% 59.97%     -0.53s  1.47%  database/sql.ctxDriverBegin
         0     0% 59.97%     -0.59s  1.64%  database/sql.ctxDriverExec
         0     0% 59.97%     -5.57s 15.46%  database/sql.ctxDriverQuery
         0     0% 59.97%     -0.23s  0.64%  encoding/json.(*decodeState).object
         0     0% 59.97%     -0.23s  0.64%  encoding/json.(*decodeState).value
         0     0% 59.97%     -0.28s  0.78%  encoding/json.Unmarshal
         0     0% 59.97%     -0.15s  0.42%  github.com/go-faker/faker/v4.(*mapperTagCustom).Store (inline)
         0     0% 59.97%     -4.23s 11.74%  github.com/go-faker/faker/v4.FakeData
         0     0% 59.97%     -0.14s  0.39%  github.com/go-faker/faker/v4.GetNetworker (inline)
         0     0% 59.97%     -0.18s   0.5%  github.com/go-faker/faker/v4.Phonenumber (inline)
