File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-13 15:41:41 CEST
Duration: 120.07s, Total samples = 30.45s (25.36%)
Showing nodes accounting for -17.12s, 56.22% of 30.45s total
Dropped 814 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
         0     0% 56.22%     -0.13s  0.43%  database/sql.(*driverConn).releaseConn
         0     0% 56.22%     -0.61s  2.00%  database/sql.ctxDriverExec
         0     0% 56.22%     -0.17s  0.56%  encoding/json.(*decodeState).unmarshal
         0     0% 56.22%     -0.32s  1.05%  encoding/json.Unmarshal
         0     0% 56.22%     -0.89s  2.92%  github.com/go-playground/validator.(*Validate).Struct (inline)
         0     0% 56.22%     -0.89s  2.92%  github.com/go-playground/validator.(*Validate).StructCtx
         0     0% 56.22%     -0.69s  2.27%  github.com/jackc/pgx/v5.(*Conn).BeginTx
         0     0% 56.22%     -0.60s  1.97%  github.com/jackc/pgx/v5.(*Conn).execPrepared
         0     0% 56.22%     -1.18s  3.88%  github.com/jackc/pgx/v5.(*Conn).execSimpleProtocol
         0     0% 56.22%     -0.28s  0.92%  github.com/jackc/pgx/v5.(*Conn).getRows
         0     0% 56.22%     -0.15s  0.49%  github.com/jackc/pgx/v5.(*Conn).getStatementDescription
         0     0% 56.22%     -0.15s  0.49%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).encodeExtendedParamValue
         0     0% 56.22%     -0.80s  2.63%  github.com/jackc/pgx/v5/pgconn.(*PgConn).Exec
         0     0% 56.22%     -0.41s  1.35%  github.com/jackc/pgx/v5/pgconn.(*PgConn).enterPotentialWriteReadDeadlock (inline)
         0     0% 56.22%     -5.59s 18.36%  github.com/jackc/pgx/v5/pgconn.(*PgConn).flushWithPotentialWriteReadDeadlock
         0     0% 56.22%     -0.45s  1.48%  github.com/jackc/pgx/v5/pgconn.(*PgConn).receiveMessage
         0     0% 56.22%     -0.70s  2.30%  github.com/jackc/pgx/v5/stdlib.(*Conn).BeginTx
         0     0% 56.22%     -0.61s  2.00%  github.com/jackc/pgx/v5/stdlib.(*Conn).ExecContext
         0     0% 56.22%     -6.73s 22.10%  github.com/jackc/pgx/v5/stdlib.(*Conn).QueryContext
         0     0% 56.22%     -0.13s  0.43%  github.com/jackc/pgx/v5/stdlib.(*Conn).ResetSession
         0     0% 56.22%     -0.51s  1.67%  github.com/jackc/pgx/v5/stdlib.wrapTx.Commit
         0     0% 56.22%      0.30s  0.99%  github.com/segmentio/kafka-go.(*Conn).ReadBatchWith.func1
         0     0% 56.22%     -0.57s  1.87%  github.com/segmentio/kafka-go.(*Conn).offsetCommit
         0     0% 56.22%     -0.38s  1.25%  github.com/segmentio/kafka-go.(*Conn).offsetCommit.func1
         0     0% 56.22%     -0.57s  1.87%  github.com/segmentio/kafka-go.(*Conn).writeOperation (inline)
         0     0% 56.22%     -0.56s  1.84%  github.com/segmentio/kafka-go.(*Generation).CommitOffsets
         0     0% 56.22%     -0.71s  2.33%  github.com/segmentio/kafka-go.(*Generation).Start.func1
         0     0% 56.22%     -0.13s  0.43%  github.com/segmentio/kafka-go.(*Reader).CommitMessages
         0     0% 56.22%     -0.71s  2.33%  github.com/segmentio/kafka-go.(*Reader).commitLoop
         0     0% 56.22%     -0.71s  2.33%  github.com/segmentio/kafka-go.(*Reader).commitLoopImmediate
         0     0% 56.22%     -0.56s  1.84%  github.com/segmentio/kafka-go.(*Reader).commitOffsetsWithRetry
         0     0% 56.22%     -0.71s  2.33%  github.com/segmentio/kafka-go.(*Reader).run.func3
         0     0% 56.22%      0.91s  2.99%  github.com/segmentio/kafka-go.(*Reader).start.func1
         0     0% 56.22%      0.13s  0.43%  github.com/segmentio/kafka-go.(*Writer).WriteMessages
         0     0% 56.22%      0.26s  0.85%  github.com/segmentio/kafka-go.(*conn).roundTrip
         0     0% 56.22%      0.27s  0.89%  github.com/segmentio/kafka-go.(*messageSetReader).readHeader
         0     0% 56.22%      0.27s  0.89%  github.com/segmentio/kafka-go.(*messageSetReader).readInt64 (inline)
         0     0% 56.22%      0.91s  2.99%  github.com/segmentio/kafka-go.(*reader).read
         0     0% 56.22%      0.91s  2.99%  github.com/segmentio/kafka-go.(*reader).run
         0     0% 56.22%     -0.58s  1.90%  github.com/segmentio/kafka-go.(*timeoutCoordinator).offsetCommit
         0     0% 56.22%      0.24s  0.79%  github.com/segmentio/kafka-go.(*writeBuffer).Flush (inline)
         0     0% 56.22%      0.25s  0.82%  github.com/segmentio/kafka-go.(*writeBuffer).writeFetchRequestV10
         0     0% 56.22%      0.30s  0.99%  github.com/segmentio/kafka-go.newMessageSetReader
         0     0% 56.22%      0.27s  0.89%  github.com/segmentio/kafka-go.readInt64
         0     0% 56.22%      0.23s  0.76%  github.com/segmentio/kafka-go/protocol.(*Conn).RoundTrip
         0     0% 56.22%      0.24s  0.79%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo
         0     0% 56.22%      0.24s  0.79%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo.func1
         0     0% 56.22%      0.24s  0.79%  github.com/segmentio/kafka-go/protocol.contiguousPages.scan
         0     0% 56.22%     -0.59s  1.94%  gorm.io/gorm.(*DB).Commit
         0     0% 56.22%     -6.96s 22.86%  gorm.io/gorm.(*DB).Create
         0     0% 56.22%     -1.73s  5.68%  gorm.io/gorm.(*DB).First
         0     0% 56.22%    -11.17s 36.68%  gorm.io/gorm.(*DB).FirstOrCreate
         0     0% 56.22%     -0.18s  0.59%  gorm.io/gorm.(*Statement).WriteQuoted
         0     0% 56.22%     -0.19s  0.62%  gorm.io/gorm/callbacks.BeginTransaction
         0     0% 56.22%     -4.47s 14.68%  gorm.io/gorm/callbacks.saveAssociations
         0     0% 56.22%     -0.19s  0.62%  internal/runtime/maps.(*Map).growToSmall
         0     0% 56.22%     -0.15s  0.49%  internal/runtime/maps.NewMap
         0     0% 56.22%     -0.26s  0.85%  internal/runtime/maps.newGroups (inline)
         0     0% 56.22%     -0.26s  0.85%  internal/runtime/maps.newarray
         0     0% 56.22%      0.14s  0.46%  internal/sync.(*Mutex).Lock (inline)
         0     0% 56.22%      0.14s  0.46%  internal/sync.(*Mutex).lockSlow
         0     0% 56.22%     -1.24s  4.07%  net.(*conn).Read
         0     0% 56.22%        -5s 16.42%  net.(*netFD).Write
         0     0% 56.22%    -18.79s 61.71%  orderservice/internal/kafka.StartConsumer
         0     0% 56.22%    -14.36s 47.16%  orderservice/internal/repository.(*orderRepository).AddNewOrder
         0     0% 56.22%      0.94s  3.09%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk
         0     0% 56.22%      0.94s  3.09%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk.func1
         0     0% 56.22%     -1.82s  5.98%  orderservice/internal/repository.(*orderRepository).GetOrderByUID
         0     0% 56.22%      1.54s  5.06%  orderservice/internal/service.(*orderService).AddNewOrdersBulk
         0     0% 56.22%     -1.83s  6.01%  orderservice/internal/service.(*orderService).GetOrderInfo
         0     0% 56.22%     -0.13s  0.43%  reflect.StructTag.Get (inline)
         0     0% 56.22%     -0.28s  0.92%  runtime.(*mcache).nextFree
         0     0% 56.22%     -0.13s  0.43%  runtime.(*mcentral).cacheSpan
         0     0% 56.22%     -0.12s  0.39%  runtime.bgsweep
         0     0% 56.22%     -0.93s  3.05%  runtime.futexwakeup
         0     0% 56.22%     -0.85s  2.79%  runtime.gcDrain
         0     0% 56.22%     -0.62s  2.04%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 56.22%     -0.23s  0.76%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 56.22%     -2.49s  8.18%  runtime.goexit0
         0     0% 56.22%     -0.20s  0.66%  runtime.goready (inline)
         0     0% 56.22%     -0.58s  1.90%  runtime.mPark (inline)
         0     0% 56.22%     -0.13s  0.43%  runtime.mProf_Malloc
         0     0% 56.22%     -0.15s  0.49%  runtime.makemap
         0     0% 56.22%     -0.25s  0.82%  runtime.mallocgcSmallScanHeader
         0     0% 56.22%     -0.16s  0.53%  runtime.netpollBreak
         0     0% 56.22%     -0.71s  2.33%  runtime.newproc.func1
